Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
ERX237497	ERR262978	2013-12-02 14:20:50	2021-10-26 23:04:11	14239094	711954700	0	50	449		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR262/ERR262978	Extract Starv R3 TSS	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237624	SAMEA2064710	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064710							no					MRC NIMR London	ERA207769		public	917D5965ACC620FD8F3D35E317905D99	9AEA981C2171ACE242FB8571B9A88D15		
ERX237506	ERR262979	2013-12-02 14:20:50	2013-11-26 01:19:49	0	0	0	0	354		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR262979/ERR262979.1	Extract Exp R2 TSS	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237633	SAMEA2064882	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064882							no					MRC NIMR London	ERA207769		public	C4B3237945A0E40BED5235DF9F44D5A1	DBA3F6F5FCB7B15BE79439788872BE79		
ERX237496	ERR262980	2013-12-02 14:20:50	2013-11-26 01:19:47	0	0	0	0	309		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR262980/ERR262980.1	Extract Exp R1 WT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237623	SAMEA1967953	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA1967953							no					MRC NIMR London	ERA207769		public	1460D13562DB83208BD9D150F575D1DC	D40275FEBC07208923EAD8FE9ECCADA4		
ERX237500	ERR262981	2013-12-02 14:20:50	2021-10-26 23:03:57	11911333	595566650	0	50	377		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR262/ERR262981	Extract Starv R2 TSS	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237627	SAMEA2064713	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064713							no					MRC NIMR London	ERA207769		public	CA8EBB779F252F9A05D5A79AA2E2DFE8	02B7E9525A9C85498ACF4492B1092162		
ERX237504	ERR262982	2013-12-02 14:20:50	2021-10-26 23:03:18	9408687	470434350	0	50	294		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR262/ERR262982	Extract Exp R3 WT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237631	SAMEA2064880	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064880							no					MRC NIMR London	ERA207769		public	2B1647F268A30A3D1A0E7FC3E285C8E4	BA041C43164155FE4F3D958EEA2A4E7D		
ERX237507	ERR262983	2013-12-02 14:20:50	2021-10-26 23:03:51	10210102	510505100	0	50	317		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR262/ERR262983	Extract Exp R2 WT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237634	SAMEA2064883	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064883							no					MRC NIMR London	ERA207769		public	967FCEC40414E7828A5EAAB218832780	7509E756C21B676F57CD869AD8C512F4		
ERX237503	ERR262984	2013-12-02 14:20:50	2013-11-26 01:18:32	0	0	0	0	273		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR262984/ERR262984.1	Extract Starv R3 WT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237630	SAMEA2064879	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064879							no					MRC NIMR London	ERA207769		public	70E6465C518AB6F718E3329B61E26A83	DEB8DF47E92634CBDC199C6CABCD1EC9		
ERX237505	ERR262985	2013-12-02 14:20:50	2013-11-26 01:18:40	0	0	0	0	434		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR262985/ERR262985.1	Extract Exp R1 TSS	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237632	SAMEA2064881	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064881							no					MRC NIMR London	ERA207769		public	7C29AA361512889419ADC0BCB2BFEB55	9F15C726A358334BFBFCD43DB774280C		
ERX237502	ERR262986	2013-12-02 14:20:50	2021-10-26 23:04:04	12368409	618420450	0	50	391		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR262/ERR262986	Extract Exp R3 TSS	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237629	SAMEA2064715	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064715							no					MRC NIMR London	ERA207769		public	2B4543805E1D2B18E1A48FAFD4285AA0	6A1AAE14EE3F81899EB121E2A850EA60		
ERX237501	ERR262987	2013-12-02 14:20:50	2021-10-26 23:03:09	9334021	466701050	0	50	290		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR262/ERR262987	Extract Starv R1 WT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237628	SAMEA2064714	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064714							no					MRC NIMR London	ERA207769		public	98DA2D329DBC614EDEDA82224982CA81	6422FCB15EA46E19D3C82B830FE4FC05		
ERX237498	ERR262988	2013-12-02 14:20:50	2013-11-26 01:19:09	0	0	0	0	355		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR262988/ERR262988.1	Extract Starv R2 WT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237625	SAMEA2064711	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064711							no					MRC NIMR London	ERA207769		public	082D4EC4093C8649A658B395AED50110	A2398266A2D8AE830F050DC9A715DB33		
ERX237499	ERR262989	2013-12-02 14:20:50	2013-11-26 01:19:19	0	0	0	0	410		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR262989/ERR262989.1	Extract Starv R1 TSS	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002485	PRJEB1807		230291	ERS237626	SAMEA2064712	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2064712							no					MRC NIMR London	ERA207769		public	78D96F91BB5818375166BB3CC2B63838	6FA3561899913DB202C53676D8210B51		
ERX248754	ERR274478	2013-09-24 11:13:04	2013-09-18 02:33:55	0	0	0	0	4555		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR274478/ERR274478.1	DS_20	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002631	PRJEB1952		221835	ERS246819	SAMEA2072011	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2072011							no					MRC NIMR London	ERA214712		public	F4F364D13671440735D9998F0D38D7C2	4CAFCED0584B12216538C18889940087		
ERX248755	ERR274479	2013-09-24 11:13:04	2021-10-27 04:53:55	82965922	8379558122	0	101	4543		https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR274/ERR274479	DS_18	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	Illumina HiSeq 2000	ERP002631	PRJEB1952		221835	ERS246820	SAMEA2072027	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA2072027							no					MRC NIMR London	ERA214712		public	2EFB2AD05836CBA1D78B09C8319B95DD	D41E3A6AE4FA369DD16EC7BE5455E09D		
ERX3772318	ERR3770569	2020-01-09 05:40:48	2020-01-16 20:55:20	0	0	0	0	686		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/ERR3770569/ERR3770569.1	Treated replicate 1_p	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	120	15.0	ILLUMINA	Illumina HiSeq 2500	ERP118997	PRJEB35872		599908	ERS4191971	SAMEA6425763	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6425763							no					UAB Genomics Core facility	ERA2322428		public	8A93D78E035558510C40DC56B2392EFA	9DF38CA70827C1865B8C3D465CDD3F58		
ERX3772319	ERR3770570	2020-01-09 05:40:48	2020-01-16 20:56:19	0	0	0	0	675		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/ERR3770570/ERR3770570.1	Treated replicate 2_p	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	120	15.0	ILLUMINA	Illumina HiSeq 2500	ERP118997	PRJEB35872		599908	ERS4191972	SAMEA6425764	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6425764							no					UAB Genomics Core facility	ERA2322428		public	D366A61593D4006308B8A528AA936C4C	F3336877386BD073C773D147F1AEB57A		
ERX3772320	ERR3770571	2020-01-09 05:40:48	2020-01-16 20:57:15	0	0	0	0	617		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/ERR3770571/ERR3770571.1	Treated replicate 3_p	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	120	15.0	ILLUMINA	Illumina HiSeq 2500	ERP118997	PRJEB35872		599908	ERS4191973	SAMEA6425765	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6425765							no					UAB Genomics Core facility	ERA2322428		public	EB0DDDC3CBD9EE20D2E4E4456BFC51EE	059B6CE696A7C615A793B0A1ABB37156		
ERX3772321	ERR3770572	2020-01-09 05:40:48	2020-01-16 20:58:18	0	0	0	0	812		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/ERR3770572/ERR3770572.1	Untreated replicate 1_p	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	120	15.0	ILLUMINA	Illumina HiSeq 2500	ERP118997	PRJEB35872		599908	ERS4191974	SAMEA6425766	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6425766							no					UAB Genomics Core facility	ERA2322428		public	2087E246E22340FFA1BED1A6A5464E26	1BAC07275E35D36F5393BF72CF8760B2		
ERX3772322	ERR3770573	2020-01-09 05:40:48	2020-01-16 20:59:24	0	0	0	0	750		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/ERR3770573/ERR3770573.1	Untreated replicate 2_p	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	120	15.0	ILLUMINA	Illumina HiSeq 2500	ERP118997	PRJEB35872		599908	ERS4191975	SAMEA6425767	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6425767							no					UAB Genomics Core facility	ERA2322428		public	5295F4E2D9341299D7CE6C886DD6954F	66BAC854859CAE9713B91D834D9ACF38		
ERX3772323	ERR3770574	2020-01-09 05:40:48	2020-01-16 21:01:20	0	0	0	0	591		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/ERR3770574/ERR3770574.1	Untreated replicate 3_p	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	120	15.0	ILLUMINA	Illumina HiSeq 2500	ERP118997	PRJEB35872		599908	ERS4191976	SAMEA6425768	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6425768							no					UAB Genomics Core facility	ERA2322428		public	B4A573D2319968AC4B09391D30626E2C	1382234E7685FDB199006EC9A9158579		
ERX3974809	ERR3971466	2021-03-15 19:32:47	2021-04-20 07:53:11	43126042	3277579192	0	76	1507		https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR3971/ERR3971466	MTB-C-T-10_s	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	NextSeq 500	ERP120307	PRJEB37021		699502	ERS4366126	SAMEA6601858	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6601858							no					London School of Hygiene and Tropical Medicine	ERA2398243		public	43CC30AE7D40CBABAA2916CACB764612	9428354C5234497EA627FA54F0E1DD92		
ERX3974810	ERR3971467	2021-03-15 19:32:47	2021-04-20 08:43:58	40610097	3086367372	0	76	1439		https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR3971/ERR3971467	MTB-C-T-11_s	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	NextSeq 500	ERP120307	PRJEB37021		699502	ERS4366127	SAMEA6601859	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6601859							no					London School of Hygiene and Tropical Medicine	ERA2398243		public	44CAD43E243D1BA157F3BAEC2CE7EF4C	A82106F33DF948D2EE966A46709E809A		
ERX3974811	ERR3971468	2021-03-15 19:32:47	2021-04-20 09:08:08	48272511	3668710836	0	76	1683		https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR3971/ERR3971468	MTB-C-T-12_s	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	NextSeq 500	ERP120307	PRJEB37021		699502	ERS4366128	SAMEA6601860	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6601860							no					London School of Hygiene and Tropical Medicine	ERA2398243		public	8A671E3D2E8F2D530A0C21BB02950749	1FBB8118CC60E6E3CF0CDC97D407220D		
ERX3974818	ERR3971475	2021-03-15 19:32:48	2021-04-20 07:43:14	39465876	2999406576	0	76	1384		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3971/ERR3971475	MTB-CTRL-NT-4_s	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	NextSeq 500	ERP120307	PRJEB37021		699502	ERS4366135	SAMEA6601867	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6601867							no					London School of Hygiene and Tropical Medicine	ERA2398243		public	42813BF7B2C003CCCD52D0BC9787EC47	A11255E5C4214769F78E9D31723D780A		
ERX3974819	ERR3971476	2021-03-15 19:32:48	2021-04-20 07:25:34	34246505	2602734380	0	76	1198		https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3971/ERR3971476	MTB-CTRL-NT-5_s	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0.0	ILLUMINA	NextSeq 500	ERP120307	PRJEB37021		699502	ERS4366136	SAMEA6601868	simple	83332	Mycobacterium tuberculosis H37Rv	SAMEA6601868							no					London School of Hygiene and Tropical Medicine	ERA2398243		public	A17F652EC810F32884CEC1DF07E0E866	E0711EC93FE8E085515B1953A57C87D8		
